model,mean,std,mean±std,s42,s43,s44
H0+B3    (rep+cons),1.2755,0.025,1.2755±0.0250,1.2837,1.3011,1.2416
"H0+F2    (rep+fusion,nocons)",1.2793,0.0322,1.2793±0.0322,1.3247,1.2541,1.259
H0+B3+F2 (FINAL),1.271,0.0177,1.2710±0.0177,1.2815,1.2461,1.2853
