model,mean,std,mean±std,s42,s43,s44
H0+B3    (rep+cons),0.3571,0.0024,0.3571±0.0024,0.3604,0.355,0.3557
"H0+F2    (rep+fusion,nocons)",0.3726,0.0028,0.3726±0.0028,0.3759,0.3691,0.3727
H0+B3+F2 (FINAL),0.3612,0.0043,0.3612±0.0043,0.3564,0.3669,0.3603
