model,mean,std,mean±std,s42,s43,s44
H0+B3    (rep+cons),0.3822,0.0146,0.3822±0.0146,0.3616,0.3941,0.3908
"H0+F2    (rep+fusion,nocons)",0.3811,0.0048,0.3811±0.0048,0.376,0.3875,0.3799
H0+B3+F2 (FINAL),0.371,0.0103,0.3710±0.0103,0.3583,0.3836,0.371
