model,mean,std,mean±std,s42,s43,s44
H0+B3    (rep+cons),1.2876,0.0211,1.2876±0.0211,1.315,1.2638,1.2841
"H0+F2    (rep+fusion,nocons)",1.4167,0.0017,1.4167±0.0017,1.4144,1.4183,1.4173
H0+B3+F2 (FINAL),1.3881,0.037,1.3881±0.0370,1.4273,1.3384,1.3986
