seed,variant,family,condition,metric,value
44,H0,task,None,MAE,0.6756510467288785
44,H0,task,None,Corr,0.5926242016809362
44,H0,task,None,DeltaMAE,0.0
44,H0,task,None,DeltaCorr,0.0
44,H0,task,T missing,MAE,0.8000883223673868
44,H0,task,T missing,Corr,0.28507922037025313
44,H0,task,T missing,DeltaMAE,0.12443727563850826
44,H0,task,T missing,DeltaCorr,0.3075449813106831
44,H0,task,A missing,MAE,0.659175130285703
44,H0,task,A missing,Corr,0.6001873772945614
44,H0,task,A missing,DeltaMAE,-0.016475916443175587
44,H0,task,A missing,DeltaCorr,-0.007563175613625184
44,H0,task,V missing,MAE,0.6841139438975905
44,H0,task,V missing,Corr,0.5795650712471067
44,H0,task,V missing,DeltaMAE,0.008462897168711958
44,H0,task,V missing,DeltaCorr,0.013059130433829558
44,H0,task,T+A missing,MAE,0.8075154439303258
44,H0,task,T+A missing,Corr,0.24465145718056475
44,H0,task,T+A missing,DeltaMAE,0.13186439720144727
44,H0,task,T+A missing,DeltaCorr,0.34797274450037147
44,H0,task,T+V missing,MAE,0.8173270884001855
44,H0,task,T+V missing,Corr,0.21791661011982263
44,H0,task,T+V missing,DeltaMAE,0.14167604167130698
44,H0,task,T+V missing,DeltaCorr,0.37470759156111355
44,H0,task,A+V missing,MAE,0.6686190478439517
44,H0,task,A+V missing,Corr,0.5827433231017949
44,H0,task,A+V missing,DeltaMAE,-0.007031998884926893
44,H0,task,A+V missing,DeltaCorr,0.009880878579141328
44,H0,task,missAvg,MAE,0.7394731627875238
44,H0,task,missAvg,Corr,0.41835717655235055
44,H0,task,missAvg,DeltaMAE,0.06382211605864534
44,H0,task,missAvg,DeltaCorr,0.17426702512858563
44,H0,representation,T missing,absolute_l2,10.968007405392246
44,H0,representation,T missing,cosine_drift,0.30711871241709565
44,H0,representation,T missing,relational_drift_rms,0.4575426481693011
44,H0,representation,T missing,legacy_D_cross,0.7825475288602219
44,H0,representation,T missing,shared_reference_D_cross,0.7825475288602219
44,H0,representation,A missing,absolute_l2,4.853999212103877
44,H0,representation,A missing,cosine_drift,0.08476177229380649
44,H0,representation,A missing,relational_drift_rms,0.2009870045670115
44,H0,representation,A missing,legacy_D_cross,0.3463240813143405
44,H0,representation,A missing,shared_reference_D_cross,0.3463240813143405
44,H0,representation,V missing,absolute_l2,5.433023620843029
44,H0,representation,V missing,cosine_drift,0.09118242071919172
44,H0,representation,V missing,relational_drift_rms,0.2515372035232669
44,H0,representation,V missing,legacy_D_cross,0.38763642761945044
44,H0,representation,V missing,shared_reference_D_cross,0.38763642761945044
44,H0,representation,T+A missing,absolute_l2,12.687364269071164
44,H0,representation,T+A missing,cosine_drift,0.4109465283714645
44,H0,representation,T+A missing,relational_drift_rms,0.4794313750308645
44,H0,representation,T+A missing,legacy_D_cross,0.9052205372901138
44,H0,representation,T+A missing,shared_reference_D_cross,0.9052205372901138
44,H0,representation,T+V missing,absolute_l2,12.605172109788105
44,H0,representation,T+V missing,cosine_drift,0.40807655496833445
44,H0,representation,T+V missing,relational_drift_rms,0.5099749250913512
44,H0,representation,T+V missing,legacy_D_cross,0.8993562750990596
44,H0,representation,T+V missing,shared_reference_D_cross,0.8993562750990596
44,H0,representation,A+V missing,absolute_l2,7.980760796766884
44,H0,representation,A+V missing,cosine_drift,0.1876525404465253
44,H0,representation,A+V missing,relational_drift_rms,0.31963500059802524
44,H0,representation,A+V missing,legacy_D_cross,0.5694128759307772
44,H0,representation,A+V missing,shared_reference_D_cross,0.5694128759307772
44,H0,representation,mean(6),absolute_l2,9.088054568994217
44,H0,representation,mean(6),cosine_drift,0.248289754869403
44,H0,representation,mean(6),relational_drift_rms,0.3698513594966368
44,H0,representation,mean(6),legacy_D_cross,0.6484162876856605
44,H0,representation,mean(6),shared_reference_D_cross,0.6484162876856605
44,B3_POINT,task,None,MAE,0.6625416949230896
44,B3_POINT,task,None,Corr,0.6027804992566469
44,B3_POINT,task,None,DeltaMAE,0.0
44,B3_POINT,task,None,DeltaCorr,0.0
44,B3_POINT,task,T missing,MAE,0.804798359799534
44,B3_POINT,task,T missing,Corr,0.27532932394413884
44,B3_POINT,task,T missing,DeltaMAE,0.1422566648764444
44,B3_POINT,task,T missing,DeltaCorr,0.32745117531250806
44,B3_POINT,task,A missing,MAE,0.6576181636666292
44,B3_POINT,task,A missing,Corr,0.6067740929028763
44,B3_POINT,task,A missing,DeltaMAE,-0.0049235312564603895
44,B3_POINT,task,A missing,DeltaCorr,-0.003993593646229421
44,B3_POINT,task,V missing,MAE,0.6627762696717593
44,B3_POINT,task,V missing,Corr,0.6046984138175773
44,B3_POINT,task,V missing,DeltaMAE,0.00023457474866972472
44,B3_POINT,task,V missing,DeltaCorr,-0.0019179145609303783
44,B3_POINT,task,T+A missing,MAE,0.8118449659673479
44,B3_POINT,task,T+A missing,Corr,0.22565904447218132
44,B3_POINT,task,T+A missing,DeltaMAE,0.14930327104425833
44,B3_POINT,task,T+A missing,DeltaCorr,0.37712145478446557
44,B3_POINT,task,T+V missing,MAE,0.8248791148757308
44,B3_POINT,task,T+V missing,Corr,0.18779271585064597
44,B3_POINT,task,T+V missing,DeltaMAE,0.16233741995264128
44,B3_POINT,task,T+V missing,DeltaCorr,0.41498778340600095
44,B3_POINT,task,A+V missing,MAE,0.6569223409900115
44,B3_POINT,task,A+V missing,Corr,0.6074421020884098
44,B3_POINT,task,A+V missing,DeltaMAE,-0.005619353933078108
44,B3_POINT,task,A+V missing,DeltaCorr,-0.004661602831762868
44,B3_POINT,task,missAvg,MAE,0.7364732024951688
44,B3_POINT,task,missAvg,Corr,0.41794928217930494
44,B3_POINT,task,missAvg,DeltaMAE,0.07393150757207921
44,B3_POINT,task,missAvg,DeltaCorr,0.18483121707734199
44,B3_POINT,representation,T missing,absolute_l2,7.842090252186538
44,B3_POINT,representation,T missing,cosine_drift,0.2183246151778106
44,B3_POINT,representation,T missing,relational_drift_rms,0.4047358051808611
44,B3_POINT,representation,T missing,legacy_D_cross,0.7301707965901049
44,B3_POINT,representation,T missing,shared_reference_D_cross,0.5595189829038906
44,B3_POINT,representation,A missing,absolute_l2,3.22640674286794
