model,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,randMean
"H0+B3        (rep+cons, 无融合)",1.1803,1.2472,1.2544,1.3236,1.3298,1.2671
"H0+F2        (rep+fusion, 无cons)",1.1611,1.2466,1.2884,1.3872,1.4157,1.2998
H0+B3+F2     (rep+fusion+cons)=FINAL,1.1792,1.2455,1.2468,1.3308,1.3376,1.268
