Model,Protocol,None,T missing,A missing,V missing,T+A missing,T+V missing,A+V missing
M0/M1 Baseline,A,0.5971,0.1022,0.6062,0.5937,0.018,0.0738,0.5826
M0/M1 Baseline,B,0.6009,0.246,0.611,0.6056,0.2188,0.1753,0.6051
M2 MaskAware,A,0.5928,0.1516,0.5972,0.5834,0.0794,0.103,0.5776
M2 MaskAware,B,0.5929,0.2238,0.6052,0.5989,0.2027,0.1679,0.6081
M3 H0 Hyper,A,0.5837,0.0494,0.5945,0.5898,0.0222,0.0254,0.5797
M3 H0 Hyper,B,0.6133,0.2441,0.6109,0.6113,0.2282,0.1766,0.6063
