Model,Protocol,None,T missing,A missing,V missing,T+A missing,T+V missing,A+V missing
M0/M1 Baseline,A,0.6526,0.8074,0.7057,0.6565,0.8485,0.8303,0.7646
M0/M1 Baseline,B,0.6579,0.7988,0.6549,0.659,0.7973,0.8134,0.6579
M2 MaskAware,A,0.6639,0.8052,0.7518,0.667,0.8939,0.8321,0.7913
M2 MaskAware,B,0.6577,0.8055,0.6544,0.6501,0.8132,0.8178,0.6517
M3 H0 Hyper,A,0.6537,0.8149,0.7769,0.6689,0.8421,0.8193,0.7806
M3 H0 Hyper,B,0.6591,0.8001,0.6596,0.6572,0.8049,0.8296,0.6582
