λ_cons,Protocol,None,T missing,A missing,V missing,T+A missing,T+V missing,A+V missing
0.0,A,0.607,0.2546,0.4702,0.5655,0.0111,0.1632,0.3921
0.0,B,0.6018,0.247,0.6,0.609,0.2292,0.1388,0.6043
0.01,A,0.0,0.0052,-0.0257,0.0,0.0282,0.0216,-0.0017
0.01,B,0.5952,0.2006,0.5991,0.5852,0.2161,0.1365,0.5837
0.05,A,0.0,0.0,0.0373,0.0,0.0342,0.0213,-0.0029
0.05,B,0.5982,0.2402,0.5919,0.5985,0.2087,0.2144,0.5856
0.1,A,0.0,-0.0019,-0.0363,0.0,0.0267,-0.0139,-0.0039
0.1,B,0.0026,0.0135,0.0096,0.0025,0.2202,0.0137,0.0084
