Model,Protocol,None,T missing,A missing,V missing,T+A missing,T+V missing,A+V missing
M0/M1 Baseline,A,0.6543,0.8317,0.6465,0.666,0.8421,0.8355,0.6731
M0/M1 Baseline,B,0.6543,0.811,0.6416,0.6546,0.8069,0.8207,0.6521
M2 MaskAware,A,0.6498,0.8289,0.6479,0.6682,0.8391,0.8353,0.6714
M2 MaskAware,B,0.6644,0.814,0.6541,0.6663,0.8107,0.8216,0.6588
M3 H0 Hyper,A,0.6531,0.8383,0.6508,0.6662,0.8407,0.8379,0.6739
M3 H0 Hyper,B,0.6458,0.8077,0.6477,0.6515,0.8059,0.8208,0.6552
