variant,None,T missing,A missing,V missing,T+A missing,T+V missing,A+V missing,missAvg
F0 H0,0.658,0.8035,0.6511,0.6655,0.8021,0.8144,0.6592,0.7326
F1 MaskGate,0.667,0.8179,0.6585,0.6649,0.8114,0.8378,0.6589,0.7416
F2 GlobalQuery,0.6382,0.8039,0.6394,0.6431,0.8059,0.8233,0.6421,0.7263
F3_raw HyperGuided,0.6738,0.8113,0.6651,0.6719,0.8006,0.8147,0.6763,0.74
F3_norm QNorm,0.6861,0.8023,0.6631,0.6926,0.8031,0.8163,0.6699,0.7412
