Model,Protocol,None,T missing,A missing,V missing,T+A missing,T+V missing,A+V missing
M0/M1 Baseline,A,0.5976,0.2223,0.5318,0.5931,0.0741,0.0998,0.4537
M0/M1 Baseline,B,0.61,0.2685,0.6114,0.609,0.2507,0.2276,0.6025
M2 MaskAware,A,0.5904,0.2334,0.4606,0.5855,-0.0567,0.0772,0.3954
M2 MaskAware,B,0.598,0.2561,0.6008,0.6055,0.2185,0.1954,0.6023
M3 H0 Hyper,A,0.607,0.2546,0.4702,0.5655,0.0111,0.1632,0.3921
M3 H0 Hyper,B,0.6018,0.247,0.6,0.609,0.2292,0.1388,0.6043
