dataset,protocol,model,seed,missing_pattern,missing_probability,best_epoch,n_params,MAE,Corr,timestamp
MOSEI-DimMatch,A,M0/M1 Baseline,42,None,0.0,20,173569,0.6543028629038673,0.5970657161390402,2026-09-05 14:56:23
MOSEI-DimMatch,A,M0/M1 Baseline,42,T missing,0.0,20,173569,0.8317358471670852,0.10220907129453163,2026-09-05 14:56:23
MOSEI-DimMatch,A,M0/M1 Baseline,42,A missing,0.0,20,173569,0.6465344055603124,0.6062311690374865,2026-09-05 14:56:24
MOSEI-DimMatch,A,M0/M1 Baseline,42,V missing,0.0,20,173569,0.6660032810808122,0.5937333941642774,2026-09-05 14:56:25
MOSEI-DimMatch,A,M0/M1 Baseline,42,T+A missing,0.0,20,173569,0.8420775713075582,0.017968509996045583,2026-09-05 14:56:25
MOSEI-DimMatch,A,M0/M1 Baseline,42,T+V missing,0.0,20,173569,0.8354784339082936,0.07383269500768125,2026-09-05 14:56:26
MOSEI-DimMatch,A,M0/M1 Baseline,42,A+V missing,0.0,20,173569,0.6730701135619621,0.5826311857710141,2026-09-05 14:56:27
MOSEI-DimMatch,B,M0/M1 Baseline,42,None,0.5,23,173569,0.654280598180273,0.6008945205080986,2026-09-05 14:56:28
MOSEI-DimMatch,B,M0/M1 Baseline,42,T missing,0.5,23,173569,0.8110177329851841,0.24601600030178275,2026-09-05 14:56:29
MOSEI-DimMatch,B,M0/M1 Baseline,42,A missing,0.5,23,173569,0.6416197186068013,0.6110107910656101,2026-09-05 14:56:29
MOSEI-DimMatch,B,M0/M1 Baseline,42,V missing,0.5,23,173569,0.6546032566486757,0.6056094949474817,2026-09-05 14:56:30
MOSEI-DimMatch,B,M0/M1 Baseline,42,T+A missing,0.5,23,173569,0.8069298022209204,0.2188266232906862,2026-09-05 14:56:31
MOSEI-DimMatch,B,M0/M1 Baseline,42,T+V missing,0.5,23,173569,0.8207229944104342,0.17530582314551701,2026-09-05 14:56:32
MOSEI-DimMatch,B,M0/M1 Baseline,42,A+V missing,0.5,23,173569,0.6520929564417242,0.605122029576243,2026-09-05 14:56:32
MOSEI-DimMatch,A,M2 MaskAware,42,None,0.0,13,174337,0.6498218906715806,0.5927870932650188,2026-09-05 14:56:33
MOSEI-DimMatch,A,M2 MaskAware,42,T missing,0.0,13,174337,0.8289194792941305,0.1516365384137735,2026-09-05 14:56:34
MOSEI-DimMatch,A,M2 MaskAware,42,A missing,0.0,13,174337,0.6479185145399986,0.597240300596353,2026-09-05 14:56:35
MOSEI-DimMatch,A,M2 MaskAware,42,V missing,0.0,13,174337,0.6682389336054572,0.583430948208613,2026-09-05 14:56:36
MOSEI-DimMatch,A,M2 MaskAware,42,T+A missing,0.0,13,174337,0.8391493062288324,0.07938425512621966,2026-09-05 14:56:36
MOSEI-DimMatch,A,M2 MaskAware,42,T+V missing,0.0,13,174337,0.8353286937237505,0.10295362373407921,2026-09-05 14:56:37
MOSEI-DimMatch,A,M2 MaskAware,42,A+V missing,0.0,13,174337,0.6714283122382885,0.5776370044997758,2026-09-05 14:56:38
