pattern,‖z_full‖,‖z_miss‖,‖z_full−z_miss‖
T missing,15.367,14.3595,10.654
A missing,15.367,15.9575,4.5498
V missing,15.367,14.7986,5.8647
T+A missing,15.367,16.9436,13.8175
T+V missing,15.367,12.5238,12.0835
A+V missing,15.367,15.4311,8.0772
