epoch,train_task,train_cons,norm_full,norm_miss,norm_diff,valid_loss,valid_MAE,valid_Corr,diag_z_mean,diag_z_max,diag_z_std,diag_H_alpha,diag_H_norm,diag_max_alpha,diag_frac_sat
1,0.8312480803383265,0.411899362336369,6.770961572645335,5.600424685230484,3.6662900518938613,0.7299753751041673,0.7299753685256116,0.3183449496504839,3.4919583797454834,14.101223945617676,0.25136804580688477,0.2869330777682423,0.2611777428014231,0.8986537376943918,0.5987158908507223
2,0.7865422123218,0.34094042034468725,7.455782994335701,6.0673571668695825,3.9437118191444944,0.7228262510415766,0.722826252896249,0.37554992997965975,4.472761631011963,24.00579261779785,0.3337816894054413,0.14890639275099682,0.13554043977745944,0.955905548865429,0.8566078116639915
3,0.7797550652967465,0.2755457141822278,9.513953750345328,7.681775554759005,4.632774480262097,0.7111665615428253,0.7111665591719142,0.3920430397419462,6.254254341125488,45.22138214111328,0.4917365312576294,0.10968332647178541,0.09983806626153686,0.9696200903945584,0.9117174959871589
4,0.7625890102490549,0.2643646323567275,8.537116247846132,7.054082129384934,4.3400172046247425,0.6943056076493985,0.694305606772889,0.42280499540143635,5.501540184020996,56.498291015625,0.47856077551841736,0.07924709565928872,0.07213381506533398,0.9761891116618855,0.9390048154093098
5,0.7589529880369182,0.2364207748711897,6.910033075735454,5.992486881293629,3.5901461224976665,0.7061220840727855,0.7061220956547709,0.4043076436351597,7.124251365661621,42.871742248535156,0.5104105472564697,0.030132836065627954,0.02742808939645046,0.9918353015436343,0.9818084537185661
6,0.7540980503444045,0.22037994620380788,7.282295702216884,6.638921720051523,3.9732239258828033,0.7057732305244815,0.7057732329257889,0.38138018293923936,8.229711532592773,57.54576873779297,0.6435520648956299,0.12709437456192707,0.1156862852098701,0.9557933112144981,0.8566078116639915
7,0.755837772821889,0.16298388320869056,9.294078222509901,8.040552343092367,4.384366791980508,0.6895800280724061,0.6895800200882709,0.42637957610188465,6.5897321701049805,76.46650695800781,0.6236908435821533,0.033213314324345516,0.030232061544306316,0.9889084619911933,0.9668271803103263
8,0.7478851564033853,0.1485992838346588,8.11246092515178,7.033177184486917,3.82548796738473,0.6901812843934555,0.6901812799418774,0.40528131365429,5.207239151000977,62.282161712646484,0.4934583604335785,0.08312617040719893,0.07566470106389944,0.970518823770867,0.9127875869448903
9,0.7443887389332853,0.18139929293926554,8.250229052811303,7.220037272113527,4.152689113728347,0.6900019780750132,0.6900019757982224,0.4137370323384696,13.799980163574219,103.85472869873047,1.0436829328536987,0.07103237748945718,0.06465645635146906,0.9731686264196776,0.9149277688603531
10,0.7530491056898136,0.22468992716260885,12.367545980927837,10.946123532841398,6.632664749404668,0.6919962557131367,0.6919962551551031,0.4124668484608216,9.639488220214844,105.03675842285156,0.832159698009491,0.036593134944807294,0.03330850685201288,0.9871109358890608,0.9614767255216693
