λ_cons,None,T missing,A missing,V missing,T+A missing,T+V missing,A+V missing
0.0,0.6018,0.247,0.6,0.609,0.2292,0.1388,0.6043
0.005,0.6018,0.26,0.6004,0.5967,0.2417,0.2179,0.592
0.01,0.6093,0.2687,0.6082,0.6155,0.2411,0.2106,0.6098
0.02,0.6023,0.28,0.6051,0.5998,0.2358,0.1684,0.6075
