Model,Protocol,None,T missing,A missing,V missing,T+A missing,T+V missing,A+V missing
MaskAware(B),A,0.5956,0.1917,0.5722,0.5792,0.1044,0.1549,0.5704
MaskAware(B),B,0.5667,0.1884,0.5592,0.5663,0.0997,0.2229,0.5487
H0 Original,A,0.6121,0.1452,0.5955,0.6045,0.1027,0.1193,0.5982
H0 Original,B,0.5983,0.189,0.5778,0.6034,0.0991,0.1925,0.5811
H1 AvailPool,A,0.6102,0.2072,0.458,0.5613,0.012,0.0667,0.5265
H1 AvailPool,B,0.5917,0.18,0.5785,0.6086,0.1105,0.177,0.5872
H2 Pool+LN/Res,A,0.5996,0.0945,0.5615,0.5444,0.1171,-0.1213,0.5539
H2 Pool+LN/Res,B,0.595,0.1981,0.5786,0.596,0.0922,0.2319,0.5761
