Model,Protocol,None,T missing,A missing,V missing,T+A missing,T+V missing,A+V missing
MaskAware(B),A,1.0308,1.4305,1.0376,1.1015,1.4049,1.5944,1.0566
MaskAware(B),B,1.1427,1.3892,1.1245,1.1385,1.4493,1.388,1.1351
H0 Original,A,1.0245,1.5692,1.0034,1.0735,1.4178,1.7085,1.0233
H0 Original,B,1.158,1.4641,1.1597,1.1363,1.5112,1.4861,1.1374
H1 AvailPool,A,1.0672,1.5948,1.226,1.5437,1.4519,3.0322,2.0095
H1 AvailPool,B,1.0618,1.4059,1.0597,1.0386,1.4478,1.4188,1.0484
H2 Pool+LN/Res,A,1.0288,1.42,1.2448,1.1094,1.6196,1.4416,1.5171
H2 Pool+LN/Res,B,1.1526,1.4359,1.1465,1.1375,1.4779,1.3912,1.1494
