condition,H0_MAE,H0_Corr,H0_DeltaMAE,H0_DeltaCorr,B3_MAE,B3_Corr,B3_DeltaMAE,B3_DeltaCorr,difference_MAE_B3_minus_H0,difference_Corr_B3_minus_H0,difference_DeltaMAE_B3_minus_H0,difference_DeltaCorr_B3_minus_H0
None,0.6756510467288785,0.5926242016809362,0.0,0.0,0.6625416949230896,0.6027804992566469,0.0,0.0,-0.013109351805788982,0.010156297575710682,0.0,0.0
T missing,0.8000883223673868,0.28507922037025313,0.12443727563850826,0.3075449813106831,0.804798359799534,0.27532932394413884,0.1422566648764444,0.32745117531250806,0.004710037432147152,-0.00974989642611429,0.017819389237936134,0.019906194001824973
A missing,0.659175130285703,0.6001873772945614,-0.016475916443175587,-0.007563175613625184,0.6576181636666292,0.6067740929028763,-0.0049235312564603895,-0.003993593646229421,-0.0015569666190737852,0.006586715608314919,0.011552385186715197,0.003569581967395763
V missing,0.6841139438975905,0.5795650712471067,0.008462897168711958,0.013059130433829558,0.6627762696717593,0.6046984138175773,0.00023457474866972472,-0.0019179145609303783,-0.021337674225831216,0.025133342570470618,-0.008228322420042233,-0.014977044994759936
T+A missing,0.8075154439303258,0.24465145718056475,0.13186439720144727,0.34797274450037147,0.8118449659673479,0.22565904447218132,0.14930327104425833,0.37712145478446557,0.004329522037022082,-0.01899241270838342,0.017438873842811065,0.029148710284094104
T+V missing,0.8173270884001855,0.21791661011982263,0.14167604167130698,0.37470759156111355,0.8248791148757308,0.18779271585064597,0.16233741995264128,0.41498778340600095,0.007552026475545315,-0.030123894269176665,0.020661378281334297,0.0402801918448874
A+V missing,0.6686190478439517,0.5827433231017949,-0.007031998884926893,0.009880878579141328,0.6569223409900115,0.6074421020884098,-0.005619353933078108,-0.004661602831762868,-0.011696706853940197,0.024698778986614878,0.001412644951848785,-0.014542481410904196
missAvg,0.7394731627875238,0.41835717655235055,0.06382211605864534,0.17426702512858563,0.7364732024951688,0.41794928217930494,0.07393150757207921,0.18483121707734199,-0.002999960292355053,-0.00040789437304561416,0.010109391513433874,0.010564191948756352
