condition,H0_D_cross,B3_D_cross,difference_B3_minus_H0,relative_change,H0_raw_drift_L2,B3_raw_drift_L2
T missing,0.7827233685565651,0.7303284264927687,-0.05239494206379636,-0.06693928425869272,10.968008041381836,7.842090129852295
A missing,0.3464018755125008,0.3004730335540838,-0.04592884195841701,-0.13258831780380176,4.853999137878418,3.2264068126678467
V missing,0.3877235297035756,0.40667105113781027,0.01894752143423467,0.04886863959139044,5.433023929595947,4.366735458374023
T+A missing,0.9054238433140746,0.813115979211597,-0.0923078641024776,-0.1019498931732415,12.687363624572754,8.731042861938477
T+V missing,0.8995583131378276,0.8642894226637322,-0.03526889047409543,-0.03920689738393027,12.605172157287598,9.28053092956543
A+V missing,0.5695407750270451,0.5055136966624326,-0.06402707836461252,-0.11241877872828285,7.98076057434082,5.428083896636963
mean(6),0.6485619508752648,0.6033986016204042,-0.04516334925486065,-0.06963613760233846,9.088054577509562,6.479148348172505
