model,mean,std,mean±std,s42,s43,s44
H0+B3    (rep+cons),0.4202,0.0018,0.4202±0.0018,0.4181,0.42,0.4226
"H0+F2    (rep+fusion,nocons)",0.4165,0.0026,0.4165±0.0026,0.4195,0.4168,0.4132
H0+B3+F2 (FINAL),0.4135,0.014,0.4135±0.0140,0.4244,0.4225,0.3937
