dataset,protocol,model,seed,missing_pattern,missing_probability,best_epoch,n_params,MAE,Corr,timestamp
MOSEI-MultiSeed,B,H0+B3    (rep+cons),42,missAvg,0.5,23,434945,0.73263406940726,0.41812163827613197,2026-09-06 14:23:49
MOSEI-MultiSeed,B,"H0+F2    (rep+fusion,nocons)",42,missAvg,0.5,18,566785,0.731369198584635,0.4195085481483132,2026-09-06 14:28:21
MOSEI-MultiSeed,B,H0+B3+F2 (FINAL),42,missAvg,0.5,29,566785,0.7262840164458816,0.4243724155733801,2026-09-06 14:35:16
MOSEI-MultiSeed,B,H0+B3    (rep+cons),43,missAvg,0.5,20,434945,0.7326332365587045,0.42002169175533016,2026-09-06 14:40:31
MOSEI-MultiSeed,B,"H0+F2    (rep+fusion,nocons)",43,missAvg,0.5,21,566785,0.7358624867907784,0.41675089772955554,2026-09-06 14:44:58
MOSEI-MultiSeed,B,H0+B3+F2 (FINAL),43,missAvg,0.5,27,566785,0.7290556839109316,0.42252019822563,2026-09-06 14:51:46
MOSEI-MultiSeed,B,H0+B3    (rep+cons),44,missAvg,0.5,17,434945,0.7351822383047623,0.4225963159595687,2026-09-06 14:56:59
MOSEI-MultiSeed,B,"H0+F2    (rep+fusion,nocons)",44,missAvg,0.5,26,566785,0.7307336633105229,0.4131579562435796,2026-09-06 15:01:46
MOSEI-MultiSeed,B,H0+B3+F2 (FINAL),44,missAvg,0.5,28,566785,0.7334807725120766,0.3937109646218903,2026-09-06 15:08:29
