model,mean,std,mean±std,s42,s43,s44
H0+B3    (rep+cons),0.7212,0.0013,0.7212±0.0013,0.7209,0.7199,0.7229
"H0+F2    (rep+fusion,nocons)",0.7198,0.0012,0.7198±0.0012,0.7193,0.7214,0.7187
H0+B3+F2 (FINAL),0.715,0.0031,0.7150±0.0031,0.7114,0.7148,0.7189
