model,mean,std,mean±std,s42,s43,s44
H0+B3    (rep+cons),0.7335,0.0012,0.7335±0.0012,0.7326,0.7326,0.7352
"H0+F2    (rep+fusion,nocons)",0.7327,0.0023,0.7327±0.0023,0.7314,0.7359,0.7307
H0+B3+F2 (FINAL),0.7296,0.003,0.7296±0.0030,0.7263,0.7291,0.7335
