condition,H0_MAE,H0_Corr,H0_DeltaMAE,H0_DeltaCorr,B3_MAE,B3_Corr,B3_DeltaMAE,B3_DeltaCorr,difference_MAE_B3_minus_H0,difference_Corr_B3_minus_H0,difference_DeltaMAE_B3_minus_H0,difference_DeltaCorr_B3_minus_H0
None,0.6646514268699916,0.5931944777321796,0.0,0.0,0.6625399270189006,0.5939386723227281,0.0,0.0,-0.0021114998510909366,0.0007441945905485303,0.0,0.0
T missing,0.8052529078967838,0.25769186191126364,0.14060148102679226,0.33550261582091595,0.8112808149544658,0.24884610142287886,0.14874088793556517,0.34509257089984924,0.006027907057681969,-0.008845760488384785,0.008139406908772906,0.009589955078933288
A missing,0.666627683289447,0.5942682281600346,0.0019762564194554244,-0.0010737504278549581,0.655655136527287,0.5999303699690968,-0.006884790491613613,-0.005991697646368643,-0.010972546762159974,0.0056621418090622155,-0.008861046911069037,-0.004917947218513685
V missing,0.6697101565240375,0.597041181841637,0.005058729654045968,-0.0038467041094574217,0.6574040965439686,0.6080779952252373,-0.005135830474932046,-0.014139322902509188,-0.01230605998006895,0.011036813383600297,-0.010194560128978014,-0.010292618793051767
T+A missing,0.8084865356830593,0.22669861472169897,0.1438351088130677,0.36649586301048065,0.8187475991969911,0.22752398410597313,0.1562076721780905,0.366414688216755,0.010261063513931856,0.0008253693842741605,0.012372563365022793,-8.117479372565795e-05
T+V missing,0.8165521971590941,0.22925154770637662,0.15190077028910254,0.36394293002580297,0.8236317930888724,0.21786250401451834,0.16109186606997172,0.3760761683082098,0.0070795959297782485,-0.01138904369185828,0.009191095780869185,0.01213323828240681
A+V missing,0.676913706692878,0.5898959484280049,0.012262279822886413,0.0032985293041747354,0.6474914057739921,0.6144093985118377,-0.01504852124490852,-0.02047072618910961,-0.02942230091888587,0.024513450083832877,-0.027310801067794932,-0.023769255493284347
missAvg,0.74059053120755,0.4158078971281693,0.07593910433755839,0.17738658060401033,0.7357018076809294,0.4194417255415903,0.07316188066202887,0.17449694678113778,-0.00488872352662062,0.0036338284134210252,-0.0027772236755295165,-0.0028896338228725504
