condition,H0_D_cross,B3_D_cross,difference_B3_minus_H0,relative_change,H0_raw_drift_L2,B3_raw_drift_L2
T missing,0.7261710803645522,0.7404456961770728,0.014274615812520541,0.019657373032997603,7.002884387969971,7.10366678237915
A missing,0.3302629439591004,0.3709475395427096,0.04068459558360921,0.12318849670438468,3.184915065765381,3.558785915374756
V missing,0.36122789947651446,0.4033681690576522,0.04214026958113776,0.1166584021945428,3.483527898788452,3.8698220252990723
T+A missing,0.8136292735408845,0.8516634805651793,0.03803420702429472,0.04674636011893293,7.846293926239014,8.17066478729248
T+V missing,0.8179368698400631,0.8604728021479544,0.04253593230789132,0.05200393071430643,7.887834548950195,8.255179405212402
A+V missing,0.5302511260150996,0.6305109891792808,0.10025986316418123,0.1890799627668063,5.113515853881836,6.048978328704834
mean(6),0.5965798655327024,0.6429014461116415,0.04632158057893909,0.07764522950753568,5.753161946932475,6.167849540710449
