family,condition,metric,variant,reference,n_seeds,variant_mean,variant_sample_std,reference_mean,reference_sample_std,paired_difference_mean,paired_difference_sample_std,improved_seeds
representation,A missing,absolute_l2,H0,B3_POINT,3,3.955972320505827,0.8417550446524797,3.432852875934195,0.18022419918414054,0.5231194445716315,1.016735469566645,1
representation,A missing,absolute_l2,B3_POINT,H0,3,3.432852875934195,0.18022419918414054,3.955972320505827,0.8417550446524797,-0.5231194445716315,1.016735469566645,2
representation,A missing,absolute_l2,REL,H0,3,4.443896288248177,0.5662744081565098,3.955972320505827,0.8417550446524797,0.48792396774235075,0.8867698052896374,1
representation,A missing,absolute_l2,REL,B3_POINT,3,4.443896288248177,0.5662744081565098,3.432852875934195,0.18022419918414054,1.0110434123139822,0.5927729097127046,0
representation,A missing,cosine_drift,H0,B3_POINT,3,0.09160350984713173,0.009249171988145807,0.057442673949508076,0.01240097095403143,0.03416083589762365,0.010409889983220712,0
representation,A missing,cosine_drift,B3_POINT,H0,3,0.057442673949508076,0.01240097095403143,0.09160350984713173,0.009249171988145807,-0.03416083589762365,0.010409889983220712,3
representation,A missing,cosine_drift,REL,H0,3,0.049246800855895646,0.005167246423919909,0.09160350984713173,0.009249171988145807,-0.04235670899123608,0.012932261607113736,3
representation,A missing,cosine_drift,REL,B3_POINT,3,0.049246800855895646,0.005167246423919909,0.057442673949508076,0.01240097095403143,-0.008195873093612424,0.01168428441480719,2
representation,A missing,legacy_D_cross,H0,B3_POINT,3,0.38956251756722166,0.08923638290147642,0.3508757867398833,0.044025396991893034,0.03868673082733837,0.07596664113230739,1
representation,A missing,legacy_D_cross,B3_POINT,H0,3,0.3508757867398833,0.044025396991893034,0.38956251756722166,0.08923638290147642,-0.03868673082733837,0.07596664113230739,2
representation,A missing,legacy_D_cross,REL,H0,3,0.35622338234017975,0.022981806011921554,0.38956251756722166,0.08923638290147642,-0.033339135227041905,0.06625712547394348,2
representation,A missing,legacy_D_cross,REL,B3_POINT,3,0.35622338234017975,0.022981806011921554,0.3508757867398833,0.044025396991893034,0.005347595600296462,0.037746915443964385,1
representation,A missing,relational_drift_rms,H0,B3_POINT,3,0.20208380174183707,0.011827976330690269,0.15417527739757553,0.021887970057798346,0.047908524344261544,0.0336065719333533,0
representation,A missing,relational_drift_rms,B3_POINT,H0,3,0.15417527739757553,0.021887970057798346,0.20208380174183707,0.011827976330690269,-0.047908524344261544,0.0336065719333533,3
representation,A missing,relational_drift_rms,REL,H0,3,0.0894929146910126,0.005905750659974241,0.20208380174183707,0.011827976330690269,-0.11259088705082448,0.010150821110841224,3
representation,A missing,relational_drift_rms,REL,B3_POINT,3,0.0894929146910126,0.005905750659974241,0.15417527739757553,0.021887970057798346,-0.06468236270656295,0.026117218850987476,3
representation,A missing,shared_reference_D_cross,H0,B3_POINT,3,0.38956251756722166,0.08923638290147642,0.3502497001909766,0.11188275482507104,0.039312817376245056,0.07745030166480484,1
representation,A missing,shared_reference_D_cross,B3_POINT,H0,3,0.3502497001909766,0.11188275482507104,0.38956251756722166,0.08923638290147642,-0.039312817376245056,0.07745030166480484,2
representation,A missing,shared_reference_D_cross,REL,H0,3,0.45562650669973154,0.17425474370357588,0.38956251756722166,0.08923638290147642,0.0660639891325099,0.09663822035850042,1
representation,A missing,shared_reference_D_cross,REL,B3_POINT,3,0.45562650669973154,0.17425474370357588,0.3502497001909766,0.11188275482507104,0.10537680650875496,0.08246562143731304,0
representation,A+V missing,absolute_l2,H0,B3_POINT,3,5.852748155463513,1.8713114247276057,5.552130028323153,0.4478990285633345,0.3006181271403605,1.953442255505976,2
representation,A+V missing,absolute_l2,B3_POINT,H0,3,5.552130028323153,0.4478990285633345,5.852748155463513,1.8713114247276057,-0.3006181271403605,1.953442255505976,1
representation,A+V missing,absolute_l2,REL,H0,3,7.189259223878737,0.825364709298785,5.852748155463513,1.8713114247276057,1.3365110684152242,2.041092130957815,1
representation,A+V missing,absolute_l2,REL,B3_POINT,3,7.189259223878737,0.825364709298785,5.552130028323153,0.4478990285633345,1.6371291955555847,1.2727008165809743,0
representation,A+V missing,cosine_drift,H0,B3_POINT,3,0.18611826803620427,0.03806619297048174,0.11054844392134568,0.010613213095125681,0.07556982411485857,0.04229579351885719,0
representation,A+V missing,cosine_drift,B3_POINT,H0,3,0.11054844392134568,0.010613213095125681,0.18611826803620427,0.03806619297048174,-0.07556982411485857,0.04229579351885719,3
representation,A+V missing,cosine_drift,REL,H0,3,0.10008854488888759,0.027333124100631184,0.18611826803620427,0.03806619297048174,-0.08602972314731665,0.04878252071382271,3
representation,A+V missing,cosine_drift,REL,B3_POINT,3,0.10008854488888759,0.027333124100631184,0.11054844392134568,0.010613213095125681,-0.010459899032458078,0.017051394126556846,2
representation,A+V missing,legacy_D_cross,H0,B3_POINT,3,0.5577780576152472,0.02405182259003321,0.5659829162631692,0.06252659383679034,-0.008204858647921864,0.08385223248470888,1
representation,A+V missing,legacy_D_cross,B3_POINT,H0,3,0.5659829162631692,0.06252659383679034,0.5577780576152472,0.02405182259003321,0.008204858647921864,0.08385223248470888,2
representation,A+V missing,legacy_D_cross,REL,H0,3,0.5764365032040666,0.02772540497775043,0.5577780576152472,0.02405182259003321,0.018658445588819312,0.00647418992520803,0
