seed,variant,family,condition,metric,value
42,B3_POINT,representation,A missing,shared_reference_D_cross,0.4516093616722726
42,B3_POINT,representation,V missing,absolute_l2,3.2377260544736988
42,B3_POINT,representation,V missing,cosine_drift,0.044457276801791935
42,B3_POINT,representation,V missing,relational_drift_rms,0.14725570838338925
42,B3_POINT,representation,V missing,legacy_D_cross,0.3514784668926747
42,B3_POINT,representation,V missing,shared_reference_D_cross,0.41617854336029664
42,B3_POINT,representation,T+A missing,absolute_l2,8.170569831738387
42,B3_POINT,representation,T+A missing,cosine_drift,0.22342937395154047
42,B3_POINT,representation,T+A missing,relational_drift_rms,0.3341679972901414
42,B3_POINT,representation,T+A missing,legacy_D_cross,0.886974163280705
42,B3_POINT,representation,T+A missing,shared_reference_D_cross,1.0502481660849508
42,B3_POINT,representation,T+V missing,absolute_l2,7.713026770214645
42,B3_POINT,representation,T+V missing,cosine_drift,0.17243809886351777
42,B3_POINT,representation,T+V missing,relational_drift_rms,0.37172531151477867
42,B3_POINT,representation,T+V missing,legacy_D_cross,0.8373045707654461
42,B3_POINT,representation,T+V missing,shared_reference_D_cross,0.9914354062449233
42,B3_POINT,representation,A+V missing,absolute_l2,5.17932763809597
42,B3_POINT,representation,A+V missing,cosine_drift,0.10807073087441707
42,B3_POINT,representation,A+V missing,relational_drift_rms,0.23823034554973824
42,B3_POINT,representation,A+V missing,legacy_D_cross,0.5622532935599901
42,B3_POINT,representation,A+V missing,shared_reference_D_cross,0.6657527523152025
42,B3_POINT,representation,mean(6),absolute_l2,5.743018045203762
42,B3_POINT,representation,mean(6),cosine_drift,0.12672591510122533
42,B3_POINT,representation,mean(6),relational_drift_rms,0.26535152767968356
42,B3_POINT,representation,mean(6),legacy_D_cross,0.6234459444387132
42,B3_POINT,representation,mean(6),shared_reference_D_cross,0.7382097324887235
42,REL,task,None,MAE,0.6429517146965379
42,REL,task,None,Corr,0.6133902842388714
42,REL,task,None,DeltaMAE,0.0
42,REL,task,None,DeltaCorr,0.0
42,REL,task,T missing,MAE,0.8000051538100306
42,REL,task,T missing,Corr,0.2964226181719624
42,REL,task,T missing,DeltaMAE,0.15705343911349268
42,REL,task,T missing,DeltaCorr,0.316967666066909
42,REL,task,A missing,MAE,0.6563817608604882
42,REL,task,A missing,Corr,0.5929824454120691
42,REL,task,A missing,DeltaMAE,0.013430046163950271
42,REL,task,A missing,DeltaCorr,0.020407838826802305
42,REL,task,V missing,MAE,0.6533573359758907
42,REL,task,V missing,Corr,0.604245634971945
