Model,Protocol,0.1,0.3,0.5,0.7,0.9
Baseline(A),A,1.0682,1.1737,1.2608,1.3416,1.4205
Baseline(A),B,1.1079,1.1611,1.2374,1.2972,1.3529
MaskAware(B),A,1.0637,1.1542,1.2322,1.3128,1.3887
MaskAware(B),B,1.153,1.1786,1.2497,1.2992,1.3575
