Model,Protocol,None,T missing,A missing,V missing,T+A missing,T+V missing,A+V missing
Baseline(A),A,0.6189,0.1967,0.5971,0.6107,0.0958,0.1897,0.6006
Baseline(A),B,0.5958,0.2287,0.5815,0.6024,0.073,0.2502,0.5843
MaskAware(B),A,0.5956,0.1917,0.5722,0.5792,0.1044,0.1549,0.5704
MaskAware(B),B,0.5667,0.1884,0.5592,0.5663,0.0997,0.2229,0.5487
