condition,H0_D_cross,B3_D_cross,difference_B3_minus_H0,relative_change,H0_raw_drift_L2,B3_raw_drift_L2
T missing,0.7036733513971726,0.7214788666284192,0.017805515231246627,0.025303665679349285,5.473022937774658,6.644092559814453
A missing,0.4922995880223761,0.3815147235422166,-0.1107848644801595,-0.22503546047025955,3.8290023803710938,3.5133657455444336
V missing,0.32157735584032326,0.3515831311073635,0.030005775267040236,0.09330810992129081,2.5011608600616455,3.2377259731292725
T+A missing,0.86533251982486,0.8872382664269571,0.021905746602097098,0.025314831120070956,6.730373859405518,8.17056941986084
T+V missing,0.8061009707124364,0.8375538998617019,0.03145292914926556,0.03901859728741956,6.269683361053467,7.713026523590088
A+V missing,0.5739378800650621,0.5624207207018099,-0.01151715936325215,-0.02006690926538337,4.463967800140381,5.179327487945557
mean(6),0.6271536109770384,0.623631601378078,-0.0035220095989603184,-0.005615864338989913,4.8778685331344604,5.743017951647441
