condition,H0_MAE,H0_Corr,H0_DeltaMAE,H0_DeltaCorr,B3_MAE,B3_Corr,B3_DeltaMAE,B3_DeltaCorr,difference_MAE_B3_minus_H0,difference_Corr_B3_minus_H0,difference_DeltaMAE_B3_minus_H0,difference_DeltaCorr_B3_minus_H0
None,0.6670399430429957,0.6011442365693448,0.0,0.0,0.6660397914098867,0.6079422957941865,0.0,0.0,-0.0010001516331090698,0.006798059224841668,0.0,0.0
T missing,0.802078509673993,0.2884716557210701,0.13503856663099723,0.3126725808482747,0.8024452445615784,0.30355106029912593,0.13640545315169172,0.30439123549506053,0.00036673488758542927,0.015079404578055844,0.0013668865206944991,-0.008281345353214176
A missing,0.6770769703207365,0.594679629368461,0.010037027277740806,0.006464607200883821,0.6588056630023897,0.5978819529057445,-0.007234128407496931,0.010060342888441931,-0.018271307318346808,0.003202323537283558,-0.017271155685237738,0.0035957356875581103
V missing,0.6692773069132897,0.5959824325724914,0.0022373638702939402,0.005161803996853398,0.6736117404338591,0.5982784322978683,0.007571949023972402,0.009663863496318204,0.004334433520569392,0.0022959997253768627,0.005334585153678462,0.0045020594994648055
T+A missing,0.8136531653670197,0.23227764845354226,0.14661322232402396,0.36886658811580253,0.80723460812315,0.2351562513957617,0.14119481671326328,0.3727860443984248,-0.006418557243869749,0.0028786029422194492,-0.005418405610760679,0.003919456282622247
T+V missing,0.8190372988795082,0.2167415710194584,0.15199735583651242,0.3844026655498864,0.8175798677920576,0.23612073782128007,0.15154007638217093,0.3718215579729064,-0.0014574310874505558,0.019379166801821668,-0.000457279454341486,-0.01258110757698
A+V missing,0.6696464360934116,0.5945607935002032,0.0026064930504158257,0.0065834430691416035,0.6653825813359211,0.5877443008868073,-0.0006572100739655751,0.02019799490737917,-0.004263854757490471,-0.006816492613395897,-0.0032637031243814008,0.013614551838237565
missAvg,0.7417949478746597,0.4204522884392044,0.07475500483166403,0.18069194813014042,0.7375099508748258,0.4264554559344313,0.0714701594649393,0.1814868398597552,-0.004284996999833868,0.006003167495226891,-0.0032848453667247285,0.0007948917296147773
