seed,family,condition,metric,H0,H0_B3,difference_B3_minus_H0,relative_change
42,task,None,MAE,0.6670399430429957,0.6660397914098867,-0.0010001516331090698,-0.0014993879205268269
42,task,None,Corr,0.6011442365693448,0.6079422957941865,0.006798059224841668,0.01130853264704996
42,task,T missing,MAE,0.802078509673993,0.8024452445615784,0.00036673488758542927,0.0004572306615396446
42,task,T missing,Corr,0.2884716557210701,0.30355106029912593,0.015079404578055844,0.052273435808834534
42,task,T missing,DeltaMAE,0.13503856663099723,0.13640545315169172,0.0013668865206944991,0.010122193642794612
42,task,T missing,DeltaCorr,0.3126725808482747,0.30439123549506053,-0.008281345353214176,-0.02648567818361482
42,task,A missing,MAE,0.6770769703207365,0.6588056630023897,-0.018271307318346808,-0.026985569025726224
42,task,A missing,Corr,0.594679629368461,0.5978819529057445,0.003202323537283558,0.005384955830215646
42,task,A missing,DeltaMAE,0.010037027277740806,-0.007234128407496931,-0.017271155685237738,-1.7207441213016696
42,task,A missing,DeltaCorr,0.006464607200883821,0.010060342888441931,0.0035957356875581103,0.5562187423406474
42,task,V missing,MAE,0.6692773069132897,0.6736117404338591,0.004334433520569392,0.006476289388255736
42,task,V missing,Corr,0.5959824325724914,0.5982784322978683,0.0022959997253768627,0.0038524620859420045
42,task,V missing,DeltaMAE,0.0022373638702939402,0.007571949023972402,0.005334585153678462,2.3843171967344308
42,task,V missing,DeltaCorr,0.005161803996853398,0.009663863496318204,0.0045020594994648055,0.8721872239505886
42,task,T+A missing,MAE,0.8136531653670197,0.80723460812315,-0.006418557243869749,-0.007888566673204794
42,task,T+A missing,Corr,0.23227764845354226,0.2351562513957617,0.0028786029422194492,0.012392939920703581
42,task,T+A missing,DeltaMAE,0.14661322232402396,0.14119481671326328,-0.005418405610760679,-0.0369571415513174
42,task,T+A missing,DeltaCorr,0.36886658811580253,0.3727860443984248,0.003919456282622247,0.010625674454909268
42,task,T+V missing,MAE,0.8190372988795082,0.8175798677920576,-0.0014574310874505558,-0.0017794440978971642
42,task,T+V missing,Corr,0.2167415710194584,0.23612073782128007,0.019379166801821668,0.0894113976870291
42,task,T+V missing,DeltaMAE,0.15199735583651242,0.15154007638217093,-0.000457279454341486,-0.0030084697975294055
42,task,T+V missing,DeltaCorr,0.3844026655498864,0.3718215579729064,-0.01258110757698,-0.03272898110357807
42,task,A+V missing,MAE,0.6696464360934116,0.6653825813359211,-0.004263854757490471,-0.006367322407267052
42,task,A+V missing,Corr,0.5945607935002032,0.5877443008868073,-0.006816492613395897,-0.011464752953613823
42,task,A+V missing,DeltaMAE,0.0026064930504158257,-0.0006572100739655751,-0.0032637031243814008,-1.2521434202974697
42,task,A+V missing,DeltaCorr,0.0065834430691416035,0.02019799490737917,0.013614551838237565,2.0679987193911784
42,task,missAvg,MAE,0.7417949478746597,0.7375099508748258,-0.004284996999833868,-0.005776524917169054
42,task,missAvg,Corr,0.4204522884392044,0.4264554559344313,0.006003167495226891,0.014277880416580598
42,task,missAvg,DeltaMAE,0.07475500483166403,0.0714701594649393,-0.0032848453667247285,-0.043941477551606316
42,task,missAvg,DeltaCorr,0.18069194813014042,0.1814868398597552,0.0007948917296147773,0.0043991541285385355
42,representation,T missing,D_cross,0.7036733513971726,0.7214788666284192,0.017805515231246627,0.025303665679349285
42,representation,A missing,D_cross,0.4922995880223761,0.3815147235422166,-0.1107848644801595,-0.22503546047025955
42,representation,V missing,D_cross,0.32157735584032326,0.3515831311073635,0.030005775267040236,0.09330810992129081
42,representation,T+A missing,D_cross,0.86533251982486,0.8872382664269571,0.021905746602097098,0.025314831120070956
42,representation,T+V missing,D_cross,0.8061009707124364,0.8375538998617019,0.03145292914926556,0.03901859728741956
42,representation,A+V missing,D_cross,0.5739378800650621,0.5624207207018099,-0.01151715936325215,-0.02006690926538337
42,representation,mean(6),D_cross,0.6271536109770384,0.623631601378078,-0.0035220095989603184,-0.005615864338989913
43,task,None,MAE,0.6646514268699916,0.6625399270189006,-0.0021114998510909366,-0.0031768529573935264
43,task,None,Corr,0.5931944777321796,0.5939386723227281,0.0007441945905485303,0.0012545541445233598
43,task,T missing,MAE,0.8052529078967838,0.8112808149544658,0.006027907057681969,0.00748573149945971
43,task,T missing,Corr,0.25769186191126364,0.24884610142287886,-0.008845760488384785,-0.03432689112780947
43,task,T missing,DeltaMAE,0.14060148102679226,0.14874088793556517,0.008139406908772906,0.0578899087639341
43,task,T missing,DeltaCorr,0.33550261582091595,0.34509257089984924,0.009589955078933288,0.02858384592751913
43,task,A missing,MAE,0.666627683289447,0.655655136527287,-0.010972546762159974,-0.016459782630088106
43,task,A missing,Corr,0.5942682281600346,0.5999303699690968,0.0056621418090622155,0.009527922814557555
43,task,A missing,DeltaMAE,0.0019762564194554244,-0.006884790491613613,-0.008861046911069037,-4.483753636092945
43,task,A missing,DeltaCorr,-0.0010737504278549581,-0.005991697646368643,-0.004917947218513685,-4.580158560456324
43,task,V missing,MAE,0.6697101565240375,0.6574040965439686,-0.01230605998006895,-0.018375202854802278
43,task,V missing,Corr,0.597041181841637,0.6080779952252373,0.011036813383600297,0.01848584941751855
43,task,V missing,DeltaMAE,0.005058729654045968,-0.005135830474932046,-0.010194560128978014,-2.015241142370431
43,task,V missing,DeltaCorr,-0.0038467041094574217,-0.014139322902509188,-0.010292618793051767,-2.675698077497269
43,task,T+A missing,MAE,0.8084865356830593,0.8187475991969911,0.010261063513931856,0.01269169375251251
43,task,T+A missing,Corr,0.22669861472169897,0.22752398410597313,0.0008253693842741605,0.003640822354753973
43,task,T+A missing,DeltaMAE,0.1438351088130677,0.1562076721780905,0.012372563365022793,0.08601907744941825
43,task,T+A missing,DeltaCorr,0.36649586301048065,0.366414688216755,-8.117479372565795e-05,-0.00022148897687042954
43,task,T+V missing,MAE,0.8165521971590941,0.8236317930888724,0.0070795959297782485,0.008670108236069342
43,task,T+V missing,Corr,0.22925154770637662,0.21786250401451834,-0.01138904369185828,-0.04967924450567107
43,task,T+V missing,DeltaMAE,0.15190077028910254,0.16109186606997172,0.009191095780869185,0.060507236160263586
43,task,T+V missing,DeltaCorr,0.36394293002580297,0.3760761683082098,0.01213323828240681,0.033338299171008064
43,task,A+V missing,MAE,0.676913706692878,0.6474914057739921,-0.02942230091888587,-0.04346536438534783
43,task,A+V missing,Corr,0.5898959484280049,0.6144093985118377,0.024513450083832877,0.041555549159333
43,task,A+V missing,DeltaMAE,0.012262279822886413,-0.01504852124490852,-0.027310801067794932,-2.2272205054882717
43,task,A+V missing,DeltaCorr,0.0032985293041747354,-0.02047072618910961,-0.023769255493284347,-7.206016164839014
43,task,missAvg,MAE,0.74059053120755,0.7357018076809294,-0.00488872352662062,-0.006601115354044349
43,task,missAvg,Corr,0.4158078971281693,0.4194417255415903,0.0036338284134210252,0.008739200093383963
43,task,missAvg,DeltaMAE,0.07593910433755839,0.07316188066202887,-0.0027772236755295165,-0.036571720192377484
43,task,missAvg,DeltaCorr,0.17738658060401033,0.17449694678113778,-0.0028896338228725504,-0.016290036219295225
43,representation,T missing,D_cross,0.7261710803645522,0.7404456961770728,0.014274615812520541,0.019657373032997603
43,representation,A missing,D_cross,0.3302629439591004,0.3709475395427096,0.04068459558360921,0.12318849670438468
43,representation,V missing,D_cross,0.36122789947651446,0.4033681690576522,0.04214026958113776,0.1166584021945428
43,representation,T+A missing,D_cross,0.8136292735408845,0.8516634805651793,0.03803420702429472,0.04674636011893293
43,representation,T+V missing,D_cross,0.8179368698400631,0.8604728021479544,0.04253593230789132,0.05200393071430643
43,representation,A+V missing,D_cross,0.5302511260150996,0.6305109891792808,0.10025986316418123,0.1890799627668063
43,representation,mean(6),D_cross,0.5965798655327024,0.6429014461116415,0.04632158057893909,0.07764522950753568
44,task,None,MAE,0.6756510467288785,0.6625416949230896,-0.013109351805788982,-0.019402547911732945
44,task,None,Corr,0.5926242016809362,0.6027804992566469,0.010156297575710682,0.01713783802093457
44,task,T missing,MAE,0.8000883223673868,0.804798359799534,0.004710037432147152,0.0058868968593426075
44,task,T missing,Corr,0.28507922037025313,0.27532932394413884,-0.00974989642611429,-0.03420065627167491
44,task,T missing,DeltaMAE,0.12443727563850826,0.1422566648764444,0.017819389237936134,0.14319976989498281
44,task,T missing,DeltaCorr,0.3075449813106831,0.32745117531250806,0.019906194001824973,0.06472612206814371
44,task,A missing,MAE,0.659175130285703,0.6576181636666292,-0.0015569666190737852,-0.0023619923561081484
44,task,A missing,Corr,0.6001873772945614,0.6067740929028763,0.006586715608314919,0.010974432081518604
44,task,A missing,DeltaMAE,-0.016475916443175587,-0.0049235312564603895,0.011552385186715197,0.7011679881879402
44,task,A missing,DeltaCorr,-0.007563175613625184,-0.003993593646229421,0.003569581967395763,0.4719686741761138
44,task,V missing,MAE,0.6841139438975905,0.6627762696717593,-0.021337674225831216,-0.031190234340544597
44,task,V missing,Corr,0.5795650712471067,0.6046984138175773,0.025133342570470618,0.04336586833355121
44,task,V missing,DeltaMAE,0.008462897168711958,0.00023457474866972472,-0.008228322420042233,-0.9722819803944623
44,task,V missing,DeltaCorr,0.013059130433829558,-0.0019179145609303783,-0.014977044994759936,-1.146863879605274
44,task,T+A missing,MAE,0.8075154439303258,0.8118449659673479,0.004329522037022082,0.00536153465492145
44,task,T+A missing,Corr,0.24465145718056475,0.22565904447218132,-0.01899241270838342,-0.0776304908508616
44,task,T+A missing,DeltaMAE,0.13186439720144727,0.14930327104425833,0.017438873842811065,0.13224853874725342
44,task,T+A missing,DeltaCorr,0.34797274450037147,0.37712145478446557,0.029148710284094104,0.08376722241813173
44,task,T+V missing,MAE,0.8173270884001855,0.8248791148757308,0.007552026475545315,0.009239907232633402
44,task,T+V missing,Corr,0.21791661011982263,0.18779271585064597,-0.030123894269176665,-0.13823587955261712
44,task,T+V missing,DeltaMAE,0.14167604167130698,0.16233741995264128,0.020661378281334297,0.14583537228632862
44,task,T+V missing,DeltaCorr,0.37470759156111355,0.41498778340600095,0.0402801918448874,0.10749766685260857
44,task,A+V missing,MAE,0.6686190478439517,0.6569223409900115,-0.011696706853940197,-0.017493828349102892
44,task,A+V missing,Corr,0.5827433231017949,0.6074421020884098,0.024698778986614878,0.042383632737492655
44,task,A+V missing,DeltaMAE,-0.007031998884926893,-0.005619353933078108,0.001412644951848785,0.20088810802798968
